Date,Open*,High,Low,Close**,Volume,Market Cap,Averages,Price in SATS,Bitcoin Price
26-Feb-20,12.43,12.5,10.9,11.03,"850,441,769","777,773,459",11.7,0.001565816,"9,029.61"
25-Feb-20,13.35,13.52,12.37,12.44,"810,792,453","877,352,597",12.945,0.001309139,"9,478.88"
24-Feb-20,14.32,14.39,13.08,13.36,"815,716,115","942,399,481",13.735,0.001809327,"9,744.40"
23-Feb-20,13.78,14.38,13.74,14.33,"814,425,406","1,010,670,403",14.06,0.001829784,"9,797.60"
22-Feb-20,14.04,14.08,13.58,13.77,"750,996,069","971,632,181",13.83,0.001430916,"9,649.48"
21-Feb-20,14.06,14.27,13.75,14.04,"831,603,243","990,495,966",14.01,0.001752706,"9,656.38"
20-Feb-20,14.06,14.35,13.61,14.07,"964,100,265","992,195,650",13.98,0.001268654,"9,575.56"
19-Feb-20,15.46,15.5,13.97,14.09,"890,069,986","994,024,607",14.735,0.001538813,"9,901.45"
18-Feb-20,14.99,15.53,14.41,15.46,"962,417,621","1,090,294,078",14.97,0.002235079,"9,897.16"
17-Feb-20,14.71,15.12,13.52,15,"1,113,020,823","1,058,240,092",14.32,0.00166123,"9,723.23"
16-Feb-20,15.02,15.84,13.63,14.77,"1,183,219,698","1,042,133,346",14.735,0.002011233,"9,888.18"
15-Feb-20,16.66,16.73,14.65,15,"1,088,765,422","1,058,122,635",15.69,0.002267325,"10,108.00"
